id,left,top,right,bottom,mas_Premonsoon,mas_Postmonsoon,sph_Premonsoon,sph_Postmonsoon,mas_premon,mas_postmon
328,75.75,15.25,76,15,-106.778,211.846,-73.1417,53.5681,-101.845,83.2272
327,75.75,15.5,76,15.25,-122.157,191.672,-82.7164,55.8642,-98.2559,117.094
326,75.75,15.75,76,15.5,-95.6564,216.977,-77.152,56.9551,-115.675,120.036
325,75.75,16,76,15.75,-90.6848,232.804,-77.5642,54.6597,-138.267,95.8699
324,75.75,16.25,76,16,-134.347,211.46,-88.989,69.1138,-136.393,82.6874
323,75.75,16.5,76,16.25,-117.471,215.717,-92.2144,72.4888,-154.335,90.4654
322,75.75,16.75,76,16.5,-101.301,226.275,-91.4136,79.0526,-162.321,75.258
321,75.75,17,76,16.75,-139.444,212.561,-88.8731,79.2723,-164.564,93.5987
320,75.75,17.25,76,17,-179.659,197.866,-88.8595,87.1511,-165.268,92.5691
319,75.75,17.5,76,17.25,-152.297,191.84,-85.848,88.9149,-165.66,124.528
318,75.75,17.75,76,17.5,-159.822,199.692,-89.6175,90.1395,-141.162,112.107
317,75.75,18,76,17.75,-159.76,190.657,-82.4201,99.0098,-136.536,112.765
316,75.75,18.25,76,18,-174.393,188.559,-83.9127,102.215,-154.909,134.247
315,75.75,18.5,76,18.25,-161.665,212.041,-94.3864,103.677,-44.3033,106.647
364,76,13.25,76.25,13,-55.1003,237.613,-57.0901,52.6136,-52.9848,103.394
363,76,13.5,76.25,13.25,-62.1585,242.971,-58.1213,54.65,-63.4514,120.393
362,76,13.75,76.25,13.5,-50.838,247.443,-57.5956,47.996,-61.1421,137.83
361,76,14,76.25,13.75,-54.2993,227.415,-58.3005,51.942,-58.8202,129.69
360,76,14.25,76.25,14,-57.1441,217.868,-58.9754,53.9064,-77.6568,101.323
359,76,14.5,76.25,14.25,-79.4739,204.451,-63.7769,56.0894,-60.6415,132.162
358,76,14.75,76.25,14.5,-104.016,205.41,-62.4561,55.0957,-68.1405,127.363
357,76,15,76.25,14.75,-113.27,203.572,-67.7816,51.9376,-69.7183,104.35
356,76,15.25,76.25,15,-112.128,202.314,-69.9049,48.7202,-76.082,78.9763
355,76,15.5,76.25,15.25,-141.179,182.885,-66.826,58.7807,-77.9443,99.4565
354,76,15.75,76.25,15.5,-131.218,197.991,-66.0244,62.3594,-98.8931,114.151
353,76,16,76.25,15.75,-106.488,219.597,-72.3194,55.8785,-118.079,105.162
352,76,16.25,76.25,16,-91.4838,228.286,-80.1772,66.732,-125.957,71.5082
351,76,16.5,76.25,16.25,-110.012,212.575,-88.2661,69.2375,-133.99,78.3621
350,76,16.75,76.25,16.5,-129.275,224.957,-86.1394,71.9781,-155.246,61.3874
349,76,17,76.25,16.75,-109.657,226.209,-88.0636,62.36,-170.673,84.5766
348,76,17.25,76.25,17,-129.372,214.943,-93.1737,74.2544,-132.819,111.664
347,76,17.5,76.25,17.25,-153.589,204.965,-82.0758,83.1342,-157.859,126.613
346,76,17.75,76.25,17.5,-141.191,200.593,-87.0233,92.2567,-144.611,94.37
345,76,18,76.25,17.75,-143.495,187.688,-82.7474,95.6581,-45.4021,111.808
344,76,18.25,76.25,18,-123.8403111,213.3125556,-81.16693636,72.05723636,-55.0827,116.714
392,76.25,13.25,76.5,13,-48.6936,241.087,-63.7528,53.745,-64.7526,120.25
391,76.25,13.5,76.5,13.25,-81.4301,248.072,-64.861,57.5173,-72.9087,117.962
390,76.25,13.75,76.5,13.5,-64.4035,245.179,-65.8491,51.4373,-73.6786,101.26
389,76.25,14,76.5,13.75,-39.9024,239.115,-70.3214,46.6814,-74.2481,88.4435
388,76.25,14.25,76.5,14,-67.9163,225.063,-66.1567,51.8987,-82.2525,100.614
387,76.25,14.5,76.5,14.25,-77.1061,204.344,-67.9636,50.3224,-81.6322,120.556
386,76.25,14.75,76.5,14.5,-83.8963,204.474,-71.9349,51.7888,-85.9844,107.351
385,76.25,15,76.5,14.75,-100.45,212.998,-72.4859,49.6683,-101.509,49.5747
384,76.25,15.25,76.5,15,-121.761,194.777,-78.1003,50.3268,-83.4957,66.1848
